x, y
0.04750630111428214, 8.340175953079179
1.3064129510586207, 8.252199346368963
2.850356320364006, 8.14662749886163
4.2280281794317265, 8.014662488115148
5.3919244017967936, 7.89149560117302
6.484560628828113, 7.750732869346819
7.672209458087998, 7.557184616491591
9.0261287102609, 7.310850439882696
10.902614012716969, 6.950146493324437
12.589074110715908, 6.6246334310850425
14.038005965117375, 6.316715408280447
15.84323018491505, 5.93841642228739
17.529692457563282, 5.5865099954465265
19.311165157790786, 5.225806451612903
20.54631811351566, 4.935483870967742
21.852732151898927, 4.627565445438508
23.230405098291293, 4.240468939728053
24.845608462930425, 3.7565977035030245
26.2232792346735, 3.263929350285237
27.577198486846402, 2.8328440378138744
28.717341014992005, 2.480938416422288
30.02375287872598, 2.0674481433857226
30.99762607128321, 1.7859234851825987
32.161520118998986, 1.4340170583417344
32.921616587528916, 1.2052783238922766
33.56294675961082, 0.9589437445587442
34.06175911567452, 0.7214070876672484
34.465561044158946, 0.4310845070220865
34.75059667619534, 0.19354785013059214
35.01187643936299, 0
